"","Date","eur_price","eur_open","eur_high","eur_low","eur_change","gbp_price","gbp_open","gbp_high","gbp_low","gbp_change"
"495","2016-03-21",1.1241,1.127,1.1286,1.1235,-0.26,1.4367,1.448,1.448,1.4364,-0.78
"498","2016-03-22",1.1217,1.1245,1.1263,1.119,-0.21,1.4208,1.4368,1.4398,1.419,-1.11
"501","2016-03-23",1.1184,1.1218,1.1224,1.1158,-0.29,1.4117,1.4207,1.4228,1.4082,-0.64
"504","2016-03-24",1.1174,1.1179,1.1188,1.1143,-0.09,1.4154,1.4114,1.4184,1.4057,0.26
"506","2016-03-25",1.1166,1.1176,1.1189,1.1153,-0.07,1.4143,1.4153,1.4159,1.4108,-0.08
"510","2016-03-28",1.1196,1.1164,1.1221,1.1154,0.27,1.4254,1.4129,1.4282,1.4118,0.78
"513","2016-03-29",1.1291,1.1198,1.1305,1.1168,0.85,1.4385,1.4257,1.4409,1.4197,0.92
"516","2016-03-30",1.1338,1.129,1.1366,1.1281,0.42,1.4378,1.438,1.446,1.436,-0.05
"519","2016-03-31",1.138,1.1338,1.1413,1.1309,0.37,1.4362,1.438,1.4428,1.4327,-0.11
"1","2016-04-01",1.1387,1.138,1.1439,1.1334,0.06,1.4226,1.4365,1.4379,1.4176,-0.95
"5","2016-04-04",1.1392,1.1393,1.1414,1.1357,0.04,1.4263,1.4219,1.4322,1.4189,0.26
"8","2016-04-05",1.1384,1.1389,1.1406,1.1336,-0.07,1.4161,1.4263,1.4281,1.4122,-0.72
"11","2016-04-06",1.1399,1.1384,1.1434,1.1327,0.13,1.4121,1.416,1.4171,1.4005,-0.28
"14","2016-04-07",1.1377,1.1398,1.1455,1.1337,-0.19,1.4057,1.412,1.4159,1.4046,-0.45
"16","2016-04-08",1.1401,1.1379,1.1421,1.1349,0.21,1.4126,1.406,1.4144,1.4042,0.49
"20","2016-04-11",1.1408,1.1407,1.1448,1.1373,0.06,1.4241,1.4124,1.4286,1.4104,0.81
"23","2016-04-12",1.1386,1.1408,1.1466,1.1347,-0.19,1.4275,1.424,1.4349,1.4196,0.24
"26","2016-04-13",1.1274,1.1385,1.1393,1.1266,-0.98,1.4203,1.4274,1.428,1.4191,-0.5
"29","2016-04-14",1.1268,1.1274,1.1296,1.1234,-0.05,1.4154,1.4203,1.4212,1.4089,-0.34
"31","2016-04-15",1.1283,1.1271,1.132,1.1246,0.13,1.4195,1.4155,1.4241,1.4131,0.29
"35","2016-04-18",1.1314,1.1297,1.1334,1.1274,0.27,1.4278,1.4225,1.4294,1.4134,0.58
"38","2016-04-19",1.1358,1.1314,1.1387,1.1302,0.39,1.4393,1.4277,1.442,1.4267,0.81
"41","2016-04-20",1.1297,1.1356,1.1388,1.1288,-0.54,1.4333,1.4393,1.4411,1.4327,-0.42
"44","2016-04-21",1.1288,1.1297,1.1396,1.1272,-0.08,1.4323,1.4333,1.4441,1.43,-0.07
"46","2016-04-22",1.1234,1.1291,1.1312,1.122,-0.48,1.4403,1.4323,1.4451,1.4311,0.56
"50","2016-04-25",1.1266,1.1231,1.128,1.1216,0.28,1.4482,1.4414,1.4521,1.4402,0.55
"53","2016-04-26",1.1299,1.1264,1.1339,1.1255,0.29,1.4582,1.4483,1.464,1.4476,0.69
"56","2016-04-27",1.1321,1.1298,1.1363,1.1274,0.19,1.4543,1.4585,1.4624,1.4476,-0.27
"59","2016-04-28",1.1353,1.132,1.137,1.1296,0.28,1.461,1.4541,1.4623,1.4523,0.46
"61","2016-04-29",1.1456,1.1354,1.1461,1.1335,0.91,1.4613,1.4609,1.4671,1.4578,0.02
"523","2016-05-02",1.1532,1.1447,1.1539,1.1446,0.66,1.4673,1.4611,1.4697,1.4578,0.41
"526","2016-05-03",1.1497,1.1533,1.1616,1.1495,-0.3,1.4534,1.4673,1.477,1.4528,-0.95
"529","2016-05-04",1.1487,1.1496,1.153,1.1467,-0.09,1.4492,1.4536,1.4572,1.446,-0.29
"532","2016-05-05",1.1405,1.1486,1.1496,1.1385,-0.71,1.4486,1.4499,1.4533,1.4446,-0.04
"534","2016-05-06",1.1405,1.1408,1.1479,1.1387,0,1.443,1.4484,1.4544,1.4413,-0.39
"538","2016-05-09",1.1383,1.1401,1.1422,1.1375,-0.19,1.4407,1.4429,1.4479,1.4373,-0.16
"541","2016-05-10",1.1372,1.1385,1.1413,1.1361,-0.1,1.4441,1.4407,1.4478,1.4387,0.24
"544","2016-05-11",1.1427,1.1373,1.1448,1.1368,0.48,1.4448,1.4438,1.4488,1.4394,0.05
"547","2016-05-12",1.1377,1.1426,1.1434,1.1368,-0.44,1.445,1.445,1.4534,1.4409,0.01
"549","2016-05-13",1.1308,1.1378,1.1383,1.1284,-0.61,1.4362,1.445,1.4458,1.4339,-0.61
"553","2016-05-16",1.132,1.1311,1.1345,1.1302,0.11,1.4401,1.4352,1.4421,1.4335,0.27
"556","2016-05-17",1.1314,1.1321,1.135,1.1303,-0.05,1.4464,1.4398,1.4526,1.4393,0.44
"559","2016-05-18",1.1217,1.1313,1.1327,1.1212,-0.86,1.4596,1.4459,1.4635,1.4401,0.91
"562","2016-05-19",1.1203,1.1216,1.123,1.1179,-0.12,1.4612,1.46,1.4666,1.4564,0.11
"564","2016-05-20",1.1224,1.1204,1.1239,1.1194,0.19,1.4501,1.4611,1.4615,1.4482,-0.76
"568","2016-05-23",1.1219,1.1218,1.1246,1.1187,-0.04,1.4485,1.4506,1.455,1.4443,-0.11
"571","2016-05-24",1.1141,1.1219,1.1228,1.113,-0.7,1.4636,1.4488,1.4646,1.4474,1.04
"574","2016-05-25",1.1155,1.1141,1.1169,1.1128,0.13,1.4696,1.4636,1.473,1.4601,0.41
"577","2016-05-26",1.1194,1.1154,1.1218,1.1144,0.35,1.467,1.47,1.4744,1.4644,-0.18
"579","2016-05-27",1.1115,1.1193,1.1201,1.1107,-0.71,1.4625,1.4671,1.4693,1.4605,-0.31
"583","2016-05-30",1.1146,1.1117,1.1148,1.1099,0.28,1.4639,1.4624,1.4641,1.4586,0.1
"586","2016-05-31",1.1132,1.1138,1.1176,1.1123,-0.13,1.4478,1.4639,1.4724,1.4462,-1.1
"388","2016-06-01",1.1188,1.1133,1.1198,1.1114,0.5,1.4416,1.4479,1.4508,1.4386,-0.43
"391","2016-06-02",1.1151,1.1189,1.1221,1.1142,-0.33,1.4425,1.4417,1.4474,1.4405,0.06
"393","2016-06-03",1.1367,1.1152,1.1377,1.1136,1.94,1.452,1.4419,1.4582,1.4398,0.66
"397","2016-06-06",1.1355,1.1353,1.1396,1.1328,-0.11,1.4442,1.4519,1.4526,1.4356,-0.54
"400","2016-06-07",1.1358,1.1355,1.1382,1.1338,0.03,1.4544,1.4441,1.4645,1.4435,0.71
"403","2016-06-08",1.1394,1.1358,1.1412,1.1349,0.32,1.4502,1.4541,1.46,1.4497,-0.29
"406","2016-06-09",1.1316,1.1399,1.1417,1.1305,-0.68,1.4459,1.4501,1.4528,1.4447,-0.3
"408","2016-06-10",1.1251,1.1317,1.1329,1.1245,-0.57,1.4258,1.446,1.4474,1.4179,-1.39
"412","2016-06-13",1.1292,1.1253,1.1304,1.1233,0.36,1.4272,1.4257,1.4327,1.4113,0.1
"415","2016-06-14",1.1208,1.1293,1.1304,1.1188,-0.74,1.4117,1.4273,1.4273,1.4091,-1.09
"418","2016-06-15",1.1259,1.1205,1.1299,1.119,0.46,1.4205,1.4116,1.4222,1.4092,0.62
"421","2016-06-16",1.1226,1.126,1.1298,1.1132,-0.29,1.4203,1.4204,1.4253,1.4011,-0.01
"423","2016-06-17",1.1277,1.1226,1.1299,1.1221,0.45,1.4358,1.4204,1.4388,1.4196,1.09
"427","2016-06-20",1.1314,1.1285,1.1386,1.1284,0.33,1.4699,1.4354,1.4722,1.4354,2.37
"430","2016-06-21",1.1242,1.1312,1.1351,1.1241,-0.64,1.4647,1.47,1.4783,1.4614,-0.35
"433","2016-06-22",1.1297,1.1242,1.1339,1.1236,0.49,1.4708,1.4648,1.4777,1.4644,0.42
"436","2016-06-23",1.1388,1.1298,1.1424,1.1297,0.81,1.4879,1.4706,1.4947,1.47,1.16
"438","2016-06-24",1.1117,1.1392,1.1434,1.0911,-2.38,1.368,1.4872,1.502,1.3226,-8.06
"442","2016-06-27",1.1026,1.1072,1.1087,1.0972,-0.82,1.3219,1.3564,1.3564,1.3119,-3.37
"445","2016-06-28",1.1066,1.1025,1.1112,1.1007,0.36,1.3342,1.3225,1.342,1.3198,0.93
"448","2016-06-29",1.1125,1.1065,1.1131,1.1048,0.53,1.3426,1.3342,1.3535,1.3285,0.63
"451","2016-06-30",1.1105,1.1124,1.1157,1.1023,-0.18,1.3311,1.3433,1.35,1.3207,-0.86
"324","2016-07-01",1.1136,1.1104,1.1169,1.107,0.28,1.3262,1.3307,1.335,1.3244,-0.37
"328","2016-07-04",1.1156,1.1142,1.1166,1.1097,0.18,1.329,1.3247,1.334,1.3228,0.21
"331","2016-07-05",1.1076,1.1154,1.1184,1.1059,-0.72,1.3023,1.3289,1.3296,1.2999,-2.01
"334","2016-07-06",1.1099,1.1075,1.1112,1.103,0.21,1.2931,1.302,1.303,1.2798,-0.71
"337","2016-07-07",1.1063,1.1101,1.1113,1.1053,-0.32,1.291,1.2932,1.305,1.2874,-0.16
"339","2016-07-08",1.1055,1.1062,1.1115,1.1001,-0.07,1.2956,1.2909,1.3018,1.2878,0.36
"343","2016-07-11",1.1058,1.1052,1.1076,1.1016,0.03,1.2994,1.295,1.3018,1.285,0.29
"346","2016-07-12",1.1059,1.1058,1.1127,1.1051,0.01,1.3243,1.299,1.3296,1.2969,1.92
"349","2016-07-13",1.109,1.1061,1.1121,1.1043,0.28,1.3147,1.3248,1.3338,1.3132,-0.72
"352","2016-07-14",1.112,1.1089,1.1166,1.1085,0.27,1.3342,1.3146,1.3475,1.3106,1.48
"354","2016-07-15",1.1036,1.1118,1.115,1.1023,-0.76,1.3193,1.3342,1.3481,1.3132,-1.12
"358","2016-07-18",1.1074,1.1043,1.1086,1.1038,0.34,1.3256,1.3169,1.3313,1.3163,0.48
"361","2016-07-19",1.1022,1.1073,1.1086,1.0999,-0.47,1.3111,1.3255,1.3276,1.3072,-1.09
"364","2016-07-20",1.1015,1.102,1.1032,1.0981,-0.06,1.321,1.3111,1.3227,1.3063,0.76
"367","2016-07-21",1.1025,1.1013,1.106,1.0981,0.09,1.3234,1.3208,1.3276,1.3157,0.18
"369","2016-07-22",1.0976,1.103,1.1042,1.0954,-0.44,1.3111,1.3236,1.3294,1.3081,-0.93
"373","2016-07-25",1.0994,1.0972,1.1002,1.0954,0.16,1.3141,1.3112,1.3165,1.3094,0.23
"376","2016-07-26",1.0987,1.0997,1.1031,1.0978,-0.06,1.3132,1.3139,1.3179,1.3059,-0.07
"379","2016-07-27",1.1058,1.0985,1.1067,1.0962,0.65,1.3221,1.3132,1.3235,1.3071,0.68
"382","2016-07-28",1.1076,1.1058,1.1119,1.1049,0.16,1.3165,1.322,1.3249,1.3117,-0.42
"384","2016-07-29",1.1174,1.1079,1.12,1.1071,0.88,1.3231,1.3169,1.3305,1.315,0.5
"63","2016-08-01",1.1162,1.1177,1.1186,1.1157,-0.11,1.3178,1.3234,1.3276,1.3165,-0.4
"66","2016-08-02",1.1227,1.1162,1.1236,1.1156,0.58,1.3357,1.3181,1.3366,1.3172,1.36
"69","2016-08-03",1.1149,1.1224,1.1233,1.1139,-0.69,1.3328,1.3357,1.3373,1.328,-0.22
"72","2016-08-04",1.113,1.1149,1.1158,1.1114,-0.17,1.3108,1.3329,1.3349,1.3103,-1.65
"74","2016-08-05",1.1085,1.1127,1.1162,1.1043,-0.4,1.3073,1.311,1.3178,1.3023,-0.27
"78","2016-08-08",1.1093,1.1087,1.1107,1.1073,0.07,1.3039,1.3056,1.3097,1.3027,-0.26
"81","2016-08-09",1.1119,1.109,1.1124,1.107,0.23,1.3002,1.304,1.3053,1.2956,-0.28
"84","2016-08-10",1.1177,1.1118,1.1193,1.1102,0.52,1.3011,1.3005,1.3096,1.299,0.07
"87","2016-08-11",1.1137,1.1175,1.1194,1.1133,-0.36,1.2955,1.3006,1.3028,1.2935,-0.43
"89","2016-08-12",1.1161,1.1139,1.1224,1.113,0.22,1.2923,1.296,1.3039,1.2905,-0.25
"93","2016-08-15",1.1184,1.1162,1.1203,1.1153,0.21,1.288,1.292,1.2945,1.2864,-0.33
"96","2016-08-16",1.1278,1.1182,1.1324,1.1175,0.84,1.3045,1.2878,1.3052,1.2873,1.28
"99","2016-08-17",1.1288,1.1279,1.1318,1.1241,0.09,1.3042,1.3047,1.3089,1.2979,-0.02
"102","2016-08-18",1.1354,1.1293,1.1367,1.1283,0.58,1.3168,1.3043,1.3174,1.3033,0.97
"104","2016-08-19",1.1326,1.1351,1.1363,1.1303,-0.25,1.3075,1.3173,1.3186,1.3021,-0.71
"108","2016-08-22",1.1319,1.1305,1.1334,1.1273,-0.06,1.3139,1.306,1.3158,1.3028,0.49
"111","2016-08-23",1.1306,1.1321,1.1357,1.1302,-0.11,1.3196,1.3137,1.3215,1.3131,0.43
"114","2016-08-24",1.1263,1.1305,1.1316,1.1244,-0.38,1.3233,1.3193,1.3274,1.316,0.28
"117","2016-08-25",1.1283,1.1266,1.1301,1.1258,0.18,1.3191,1.3233,1.3264,1.3166,-0.32
"119","2016-08-26",1.1198,1.1284,1.1343,1.118,-0.75,1.3139,1.3191,1.3281,1.312,-0.39
"123","2016-08-29",1.1189,1.1192,1.1208,1.1157,-0.08,1.3103,1.3133,1.314,1.3057,-0.27
"126","2016-08-30",1.1143,1.1189,1.1198,1.113,-0.41,1.3083,1.311,1.3121,1.306,-0.15
"129","2016-08-31",1.1158,1.1143,1.1167,1.1123,0.13,1.3138,1.3077,1.3158,1.3065,0.42
"721","2016-09-01",1.1198,1.1157,1.1207,1.1128,0.36,1.3268,1.3139,1.3318,1.3125,0.99
"723","2016-09-02",1.1156,1.1197,1.1254,1.1151,-0.38,1.3293,1.3272,1.3356,1.3255,0.19
"727","2016-09-05",1.1147,1.1153,1.1185,1.114,-0.08,1.3304,1.3299,1.3379,1.3291,0.08
"730","2016-09-06",1.1256,1.1147,1.1266,1.114,0.98,1.3439,1.3303,1.3447,1.3295,1.01
"733","2016-09-07",1.1239,1.1255,1.1271,1.1228,-0.15,1.3338,1.3438,1.3441,1.3317,-0.75
"736","2016-09-08",1.1261,1.124,1.1329,1.1234,0.2,1.3296,1.3339,1.3377,1.3281,-0.31
"738","2016-09-09",1.1233,1.1262,1.1288,1.12,-0.25,1.3267,1.3299,1.3341,1.3242,-0.22
"742","2016-09-12",1.1234,1.1232,1.1269,1.1211,0.01,1.3338,1.3273,1.3351,1.3239,0.54
"745","2016-09-13",1.122,1.1236,1.1262,1.1203,-0.12,1.3195,1.3337,1.3344,1.3167,-1.07
"748","2016-09-14",1.125,1.1216,1.1274,1.1208,0.27,1.3235,1.3191,1.3242,1.3138,0.3
"751","2016-09-15",1.1244,1.1249,1.1286,1.122,-0.05,1.3238,1.3232,1.3279,1.3179,0.02
"753","2016-09-16",1.1155,1.1244,1.1256,1.1147,-0.79,1.3001,1.3241,1.3255,1.2998,-1.79
"757","2016-09-19",1.1174,1.1161,1.1198,1.1147,0.17,1.3027,1.2995,1.3093,1.2992,0.2
"760","2016-09-20",1.1155,1.1179,1.1216,1.1146,-0.17,1.2989,1.3029,1.3064,1.2946,-0.29
"763","2016-09-21",1.1189,1.1152,1.12,1.1123,0.3,1.3027,1.2989,1.3048,1.2945,0.29
"766","2016-09-22",1.1207,1.1193,1.1258,1.1181,0.16,1.3078,1.3036,1.3125,1.3028,0.39
"768","2016-09-23",1.1226,1.1209,1.1244,1.1195,0.17,1.2974,1.3071,1.309,1.2913,-0.8
"772","2016-09-26",1.1254,1.1221,1.1279,1.122,0.25,1.2975,1.2952,1.2988,1.2914,0.01
"775","2016-09-27",1.1215,1.1253,1.1262,1.119,-0.35,1.3022,1.2975,1.3027,1.2936,0.36
"778","2016-09-28",1.1216,1.1214,1.1238,1.1181,0.01,1.3019,1.3023,1.3033,1.2979,-0.02
"781","2016-09-29",1.1223,1.1217,1.1251,1.1197,0.06,1.297,1.3016,1.306,1.2953,-0.38
"783","2016-09-30",1.1241,1.1225,1.1253,1.1153,0.16,1.2976,1.2969,1.3023,1.2936,0.05
"658","2016-10-03",1.1211,1.1235,1.1245,1.1205,-0.27,1.2843,1.294,1.2948,1.2817,-1.02
"661","2016-10-04",1.1204,1.1211,1.124,1.1138,-0.06,1.2728,1.2842,1.2862,1.2717,-0.9
"664","2016-10-05",1.1205,1.1205,1.1238,1.1191,0.01,1.2749,1.2728,1.2772,1.2684,0.16
"667","2016-10-06",1.1151,1.1205,1.1214,1.1139,-0.48,1.2616,1.2746,1.2761,1.2601,-1.04
"669","2016-10-07",1.1201,1.1151,1.1207,1.1103,0.45,1.2434,1.2616,1.2626,1.1452,-1.44
"673","2016-10-10",1.1138,1.1196,1.1202,1.1128,-0.56,1.2363,1.2435,1.2453,1.2347,-0.57
"676","2016-10-11",1.1054,1.1136,1.1144,1.1047,-0.75,1.2123,1.2367,1.2377,1.2091,-1.94
"679","2016-10-12",1.1008,1.1053,1.1072,1.1003,-0.42,1.2208,1.2123,1.2328,1.2105,0.7
"682","2016-10-13",1.1057,1.1004,1.1058,1.0982,0.45,1.2255,1.221,1.2275,1.2134,0.38
"684","2016-10-14",1.0971,1.1056,1.1062,1.0968,-0.78,1.2187,1.2259,1.2263,1.2168,-0.55
"688","2016-10-17",1.0999,1.0975,1.1011,1.0964,0.26,1.2184,1.2188,1.2204,1.2136,-0.02
"691","2016-10-18",1.098,1.1,1.1029,1.097,-0.17,1.2297,1.2181,1.2327,1.2174,0.93
"694","2016-10-19",1.0974,1.098,1.1005,1.0955,-0.05,1.2286,1.2297,1.2334,1.2257,-0.09
"697","2016-10-20",1.093,1.0974,1.1041,1.0916,-0.4,1.2252,1.2285,1.23,1.221,-0.28
"699","2016-10-21",1.0884,1.0929,1.0933,1.0859,-0.42,1.2235,1.2254,1.2263,1.2171,-0.14
"703","2016-10-24",1.0883,1.0879,1.0903,1.0861,-0.01,1.2239,1.2224,1.2253,1.2186,0.03
"706","2016-10-25",1.0888,1.0882,1.0906,1.085,0.05,1.2188,1.2237,1.2245,1.2083,-0.42
"709","2016-10-26",1.0909,1.0889,1.0947,1.0872,0.19,1.2248,1.2189,1.2251,1.2154,0.49
"712","2016-10-27",1.0897,1.0909,1.0945,1.0884,-0.11,1.2163,1.2248,1.2271,1.2148,-0.69
"714","2016-10-28",1.0987,1.0899,1.0995,1.0893,0.83,1.2185,1.2164,1.2217,1.2117,0.18
"718","2016-10-31",1.0981,1.0986,1.0994,1.0936,-0.05,1.2244,1.2179,1.2251,1.2143,0.48
"589","2016-11-01",1.1056,1.0981,1.1072,1.0958,0.68,1.2243,1.2237,1.2282,1.2206,-0.01
"592","2016-11-02",1.1097,1.1056,1.1125,1.1051,0.37,1.2303,1.2243,1.236,1.2224,0.49
"595","2016-11-03",1.1105,1.1099,1.1128,1.1059,0.07,1.2462,1.2302,1.2496,1.2295,1.29
"597","2016-11-04",1.1138,1.1105,1.1146,1.108,0.3,1.2519,1.2462,1.2559,1.2448,0.46
"601","2016-11-07",1.104,1.1137,1.1139,1.1029,-0.88,1.2398,1.2513,1.2527,1.2379,-0.97
"604","2016-11-08",1.1026,1.1042,1.107,1.1008,-0.13,1.2381,1.2393,1.2444,1.2362,-0.14
"607","2016-11-09",1.091,1.1023,1.13,1.0902,-1.05,1.2406,1.2373,1.2549,1.2351,0.2
"610","2016-11-10",1.0893,1.0911,1.0958,1.0866,-0.16,1.2555,1.2405,1.2585,1.2374,1.2
"612","2016-11-11",1.0856,1.0897,1.0929,1.0833,-0.34,1.2602,1.2554,1.2675,1.2524,0.37
"616","2016-11-14",1.0737,1.085,1.0852,1.0709,-1.1,1.2487,1.2593,1.2614,1.2441,-0.91
"619","2016-11-15",1.0721,1.0736,1.0817,1.0712,-0.15,1.2456,1.2489,1.2531,1.2382,-0.25
"622","2016-11-16",1.069,1.0724,1.0763,1.0668,-0.29,1.2443,1.2456,1.2504,1.241,-0.1
"625","2016-11-17",1.0626,1.069,1.0746,1.0617,-0.6,1.2416,1.2443,1.2507,1.2407,-0.22
"627","2016-11-18",1.0588,1.0625,1.0645,1.057,-0.36,1.2346,1.2418,1.2438,1.23,-0.56
"631","2016-11-21",1.063,1.0583,1.0652,1.0578,0.4,1.2493,1.2348,1.2514,1.2311,1.19
"634","2016-11-22",1.0626,1.0627,1.066,1.0583,-0.04,1.2424,1.2497,1.2514,1.2383,-0.55
