btc,btc_1,btc_2,btc_3,eth,eth_1,eth_2,eth_3,ltc,ltc_1,ltc_2,ltc_3,xrp,xrp_1,xrp_2,xrp_3
997.6,1008.3,996.5,995.4,11.3,11.33,11.26,11.35,3.83,3.84,3.8,3.78,0.0063100000000000005,0.006379999999999999,0.00627,0.00624
1008.3,996.5,995.4,1008.3,11.33,11.26,11.35,12.96,3.84,3.8,3.78,3.82,0.006379999999999999,0.00627,0.00624,0.006220000000000001
996.5,995.4,1008.3,1008.2,11.26,11.35,12.96,12.92,3.8,3.78,3.82,3.89,0.00627,0.00624,0.006220000000000001,0.0061
995.4,1008.3,1008.2,1031.9,11.35,12.96,12.92,12.92,3.78,3.82,3.89,3.86,0.00624,0.006220000000000001,0.0061,0.0059299999999999995
1008.3,1008.2,1031.9,1049.4,12.96,12.92,12.92,12.76,3.82,3.89,3.86,3.91,0.006220000000000001,0.0061,0.0059299999999999995,0.00587
1008.2,1031.9,1049.4,1052.3,12.92,12.92,12.76,12.79,3.89,3.86,3.91,3.84,0.0061,0.0059299999999999995,0.00587,0.00554
1031.9,1049.4,1052.3,1048.9,12.92,12.76,12.79,12.8,3.86,3.91,3.84,3.81,0.0059299999999999995,0.00587,0.00554,0.00591
1049.4,1052.3,1048.9,1077.6,12.76,12.79,12.8,12.4,3.91,3.84,3.81,3.81,0.00587,0.00554,0.00591,0.00596
1052.3,1048.9,1077.6,1119.0,12.79,12.8,12.4,12.82,3.84,3.81,3.81,3.85,0.00554,0.00591,0.00596,0.00585
1048.9,1077.6,1119.0,1120.5,12.8,12.4,12.82,12.68,3.81,3.81,3.85,3.89,0.00591,0.00596,0.00585,0.00583
1077.6,1119.0,1120.5,1171.9,12.4,12.82,12.68,13.27,3.81,3.85,3.89,3.9,0.00596,0.00585,0.00583,0.00585
1119.0,1120.5,1171.9,1176.5,12.82,12.68,13.27,13.11,3.85,3.89,3.9,3.95,0.00585,0.00583,0.00585,0.0056
1120.5,1171.9,1176.5,1149.1,12.68,13.27,13.11,13.55,3.89,3.9,3.95,3.9,0.00583,0.00585,0.0056,0.00563
1171.9,1176.5,1149.1,1171.6,13.27,13.11,13.55,14.57,3.9,3.95,3.9,3.89,0.00585,0.0056,0.00563,0.0057
