"","Date","btc_price","btc_open","btc_high","btc_low","btc_vol","btc_change","bch_price","bch_open","bch_high","bch_low","bch_vol","bch_change","eos_price","eos_open","eos_high","eos_low","eos_vol","eos_change","eth_price","eth_open","eth_high","eth_low","eth_vol","eth_change","ltc_price","ltc_open","ltc_high","ltc_low","ltc_vol","ltc_change","xrp_price","xrp_open","xrp_high","xrp_low","xrp_vol","xrp_change","btcsv_price","btcsv_open","btcsv_high","btcsv_low","btcsv_vol","btcsv_change"
"1616","2012-03-19",4.69,4.69,4.69,4.69,0,-11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1623","2012-03-20",4.84,4.84,4.84,4.84,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1630","2012-03-21",4.81,4.81,4.81,4.81,0,-0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1637","2012-03-22",4.7,4.7,4.7,4.7,0,-2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1644","2012-03-23",4.69,4.69,4.69,4.69,0,-0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1651","2012-03-24",4.68,4.68,4.68,4.68,0,-0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1658","2012-03-25",4.55,4.55,4.55,4.55,0,-2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1665","2012-03-26",4.62,4.62,4.62,4.62,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1672","2012-03-27",4.81,4.81,4.81,4.81,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1679","2012-03-28",4.79,4.79,4.79,4.79,0,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1686","2012-03-29",4.81,4.81,4.81,4.81,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1693","2012-03-30",4.86,4.86,4.86,4.86,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700","2012-03-31",4.91,4.91,4.91,4.91,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","2012-04-01",4.83,4.83,4.83,4.83,0,-1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2012-04-02",4.97,4.97,4.97,4.97,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2012-04-03",4.95,4.95,4.95,4.95,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2012-04-04",4.91,4.91,4.91,4.91,0,-0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2012-04-05",4.92,4.92,4.92,4.92,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
