"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 09, 2018","0.98710","0.98976","0.99300","0.98660","3.70M","-0.27%"
"Nov 08, 2018","0.98976","0.99102","0.99216","0.98690","5.02M","-0.13%"
"Nov 07, 2018","0.99102","0.99303","0.99307","0.98579","5.73M","-0.03%"
"Nov 06, 2018","0.99134","0.99557","0.99891","0.98765","2.62M","-0.01%"
"Nov 05, 2018","0.99147","0.99161","0.99459","0.98872","1.94M","-0.01%"
"Nov 04, 2018","0.99161","0.99415","0.99641","0.99002","1.65M","-0.26%"
"Nov 03, 2018","0.99416","0.98952","0.99630","0.98952","1.22M","0.47%"
"Nov 02, 2018","0.98952","0.99380","0.99535","0.98846","3.10M","-0.17%"
"Nov 01, 2018","0.99118","0.99198","0.99548","0.98852","3.37M","-0.08%"
"Oct 31, 2018","0.99198","0.99624","0.99638","0.98923","9.65M","-0.14%"
"Oct 30, 2018","0.99338","0.99306","0.99619","0.98681","16.38M","0.65%"
"Oct 29, 2018","0.98697","1.01200","1.01200","0.98276","9.94M","-0.37%"
"Oct 28, 2018","0.99066","1.00842","1.00842","0.98808","18.34M","0.06%"
"Oct 27, 2018","0.99008","0.97935","1.00830","0.97935","10.33M","1.10%"
"Oct 26, 2018","0.97935","0.97778","1.00747","0.97658","3.31M","0.16%"
"Oct 25, 2018","0.97778","0.97864","1.00500","0.97529","2.19M","-0.09%"
"Oct 24, 2018","0.97864","0.97802","1.00160","0.97429","989.26K","0.06%"
"Oct 23, 2018","0.97802","0.99853","0.99854","0.97128","2.50M","0.45%"
"Oct 22, 2018","0.97363","0.97467","0.99936","0.96822","1.86M","-0.11%"
"Oct 21, 2018","0.97468","1.00015","1.00015","0.97328","1.28M","0.09%"
"Oct 20, 2018","0.97380","0.97722","1.00340","0.97276","1.59M","-0.35%"
"Oct 19, 2018","0.97722","0.96480","0.99311","0.96480","2.17M","1.29%"
"Oct 18, 2018","0.96480","0.95766","0.98985","0.95546","5.39M","0.75%"
"Oct 17, 2018","0.95766","0.95434","0.98909","0.95250","4.12M","0.35%"
"Oct 16, 2018","0.95434","0.95690","0.99076","0.95141","12.47M","-0.27%"
"Oct 15, 2018","0.95690","1.02030","1.02030","0.87177","30.08M","-1.98%"
"Oct 14, 2018","0.97627","0.98033","1.02020","0.97260","2.72M","-0.41%"
"Oct 13, 2018","0.98032","1.02120","1.02120","0.97935","1.66M","-0.14%"
"Oct 12, 2018","0.98172","1.02430","1.02430","0.97187","3.50M","-0.09%"
"Oct 11, 2018","0.98264","0.98308","1.00783","0.97327","5.30M","-0.05%"
"Oct 10, 2018","0.98308","1.00488","1.00488","0.98304","1.46M","-0.65%"
"Oct 09, 2018","0.98947","0.99093","1.00424","0.98877","1.30M","-0.15%"
"Oct 08, 2018","0.99093","0.99418","1.00917","0.99008","2.08M","-0.33%"
"Oct 07, 2018","0.99418","0.99396","0.99418","0.99396","611.95K","0.02%"
"Oct 06, 2018","0.99396","0.99215","0.99396","0.99215","420.89K","0.18%"
"Oct 05, 2018","0.99215","1.00700","1.00700","0.99215","1.67M","-0.18%"
"Oct 04, 2018","0.99394","0.99374","0.99394","0.99374","1.24M","0.01%"
"Oct 03, 2018","0.99386","1.00460","1.00460","0.99386","1.16M","0.19%"
"Oct 02, 2018","0.99194","1.00700","1.00700","0.99194","2.25M","-0.32%"
"Oct 01, 2018","0.99515","0.99711","0.99711","0.99515","1.20M","-0.18%"
"Sep 30, 2018","0.99691","0.99724","1.00422","0.99691","352.28K","-0.03%"
"Sep 29, 2018","0.99724","0.99828","0.99828","0.99724","503.20K","-0.10%"
"Sep 28, 2018","0.99828","1.00150","1.00150","0.99828","955.24K","0.06%"
"Sep 27, 2018","0.99769","0.99760","1.00750","0.99760","2.30M","0.01%"
"Sep 26, 2018","0.99760","1.00377","1.00903","0.98342","3.04M","-0.14%"
"Sep 25, 2018","0.99904","0.99897","1.00532","0.99821","1.02M","0.01%"
"Sep 24, 2018","0.99897","1.00017","1.00017","0.99897","1.02M","-0.01%"
"Sep 23, 2018","0.99907","0.99861","1.00195","0.99825","363.34K","0.05%"
"Sep 22, 2018","0.99861","0.99839","1.00480","0.99800","758.20K","0.02%"
"Sep 21, 2018","0.99839","0.99926","1.00920","0.98109","1.70M","-0.09%"
"Sep 20, 2018","0.99926","1.00820","1.00820","0.99926","1.69M","-0.89%"
"Sep 19, 2018","1.00820","0.99915","1.01049","0.99776","21.75K","0.91%"
"Sep 18, 2018","0.99915","0.99916","1.01368","0.99438","2.01M","-0.00%"
"Sep 17, 2018","0.99916","1.00520","1.00830","0.99916","888.18K","-0.08%"
"Sep 16, 2018","0.99992","1.00647","1.00660","0.99992","93.31K","-0.00%"
"Sep 15, 2018","0.99997","1.00825","1.00884","0.99915","350.76K","0.03%"
"Sep 14, 2018","0.99971","1.00879","1.00906","0.99909","1.99M","0.03%"
"Sep 13, 2018","0.99941","0.99821","1.01649","0.99821","2.78M","0.12%"
"Sep 12, 2018","0.99821","1.01865","1.01919","0.99179","2.67M","-0.03%"
"Sep 11, 2018","0.99853","0.99792","0.99853","0.99470","1.21M","0.06%"
"Sep 10, 2018","0.99792","1.01880","1.01880","0.99792","998.88K","-0.04%"
"Sep 09, 2018","0.99829","1.00045","1.02853","0.99816","907.54K","-0.22%"
"Sep 08, 2018","1.00045","0.99988","1.01910","0.99912","784.68K","0.06%"
"Sep 07, 2018","0.99988","1.01085","1.01411","0.99819","1.81M","0.17%"
"Sep 06, 2018","0.99820","0.99652","1.01167","0.99652","2.32M","0.17%"
"Sep 05, 2018","0.99652","0.99689","1.00258","0.99652","5.92M","-0.04%"
"Sep 04, 2018","0.99689","0.99852","1.00110","0.99689","2.17M","-0.16%"
"Sep 03, 2018","0.99852","0.99864","0.99864","0.99835","375.51K","-0.01%"
"Sep 02, 2018","0.99864","0.99834","1.00255","0.99415","1.74M","0.03%"
