"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2018","2.0515","1.8567","2.1653","1.7750","12.97M","10.47%"
"Dec 08, 2018","1.8570","1.7606","1.9833","1.6473","17.06M","5.48%"
"Dec 07, 2018","1.7606","1.8575","1.8772","1.5530","24.19M","-5.10%"
"Dec 06, 2018","1.8553","2.1959","2.2680","1.8431","16.62M","-15.33%"
"Dec 05, 2018","2.1913","2.4678","2.4784","2.1747","13.59M","-11.20%"
"Dec 04, 2018","2.4678","2.5971","2.6560","2.3443","9.28M","-4.93%"
"Dec 03, 2018","2.5957","2.8750","2.8800","2.5361","5.28M","-9.18%"
"Dec 02, 2018","2.8581","2.9771","3.0529","2.8376","2.74M","-3.93%"
"Dec 01, 2018","2.9751","2.8944","3.0494","2.8335","3.83M","2.72%"
"Nov 30, 2018","2.8962","3.0395","3.0690","2.8254","6.61M","-4.36%"
"Nov 29, 2018","3.0282","3.3207","3.3207","2.9190","7.86M","-8.43%"
"Nov 28, 2018","3.3069","3.0545","3.3906","3.0545","6.77M","8.64%"
"Nov 27, 2018","3.0438","3.2443","3.2443","2.9139","8.26M","-6.26%"
"Nov 26, 2018","3.2470","3.4200","3.4627","3.1331","6.33M","-4.77%"
"Nov 25, 2018","3.4097","3.3105","3.4870","3.0932","13.28M","2.96%"
"Nov 24, 2018","3.3117","3.6590","3.7416","3.2026","8.77M","-9.56%"
"Nov 23, 2018","3.6619","3.5234","3.7255","3.4130","8.46M","2.15%"
"Nov 22, 2018","3.5850","3.8648","3.9084","3.5811","3.32M","-7.02%"
"Nov 21, 2018","3.8558","3.8280","3.9438","3.6493","6.33M","0.41%"
"Nov 20, 2018","3.8400","4.1401","4.2507","3.4981","19.87M","-7.32%"
"Nov 19, 2018","4.1432","4.6235","4.6276","4.0554","13.44M","-10.32%"
"Nov 18, 2018","4.6200","4.6369","4.7035","4.5828","1.71M","-0.11%"
"Nov 17, 2018","4.6253","4.6005","4.6387","4.5289","1.06M","0.50%"
"Nov 16, 2018","4.6023","4.7560","4.8044","4.5159","2.92M","-3.52%"
"Nov 15, 2018","4.7700","4.7703","4.7911","4.3049","8.90M","0.31%"
"Nov 14, 2018","4.7552","5.2959","5.3372","4.5499","13.59M","-10.33%"
"Nov 13, 2018","5.3029","5.4620","5.4753","5.1485","2.61M","-2.86%"
"Nov 12, 2018","5.4590","5.5134","5.5205","5.3949","926.79K","-0.58%"
"Nov 11, 2018","5.4909","5.4255","5.5210","5.2970","1.19M","1.12%"
"Nov 10, 2018","5.4300","5.4037","5.4625","5.4023","931.38K","0.33%"
"Nov 09, 2018","5.4120","5.5249","5.5749","5.3739","2.19M","-2.05%"
"Nov 08, 2018","5.5254","5.6725","5.7045","5.5153","1.98M","-2.59%"
"Nov 07, 2018","5.6725","5.7770","5.8353","5.6216","1.87M","-1.84%"
"Nov 06, 2018","5.7786","5.5240","5.7816","5.4947","2.95M","4.85%"
"Nov 05, 2018","5.5112","5.5543","5.5543","5.4344","1.22M","-0.58%"
"Nov 04, 2018","5.5434","5.3185","5.5947","5.3007","2.53M","4.23%"
"Nov 03, 2018","5.3184","5.4028","5.4028","5.2900","1.22M","-1.54%"
"Nov 02, 2018","5.4018","5.2912","5.4200","5.2912","1.75M","2.18%"
"Nov 01, 2018","5.2866","5.2574","5.3014","5.2320","708.61K","0.71%"
"Oct 31, 2018","5.2492","5.1413","5.2970","5.0914","1.99M","2.10%"
"Oct 30, 2018","5.1412","5.1495","5.1844","5.1128","685.36K","-0.10%"
"Oct 29, 2018","5.1462","5.4451","5.4480","5.0850","4.48M","-5.39%"
"Oct 28, 2018","5.4393","5.4185","5.4510","5.4115","599.82K","0.38%"
"Oct 27, 2018","5.4186","5.4492","5.4628","5.4060","469.79K","-0.51%"
"Oct 26, 2018","5.4464","5.4398","5.4905","5.3895","1.43M","0.20%"
"Oct 25, 2018","5.4356","5.4311","5.4702","5.4044","845.42K","-0.03%"
"Oct 24, 2018","5.4371","5.4832","5.5182","5.4282","1.79M","-0.92%"
"Oct 23, 2018","5.4876","5.4615","5.5285","5.4152","1.51M","0.48%"
"Oct 22, 2018","5.4614","5.5008","5.5527","5.4443","991.71K","-0.92%"
"Oct 21, 2018","5.5120","5.4558","5.6187","5.4552","1.66M","1.06%"
"Oct 20, 2018","5.4543","5.3976","5.5060","5.3830","1.27M","0.96%"
"Oct 19, 2018","5.4027","5.4604","5.4742","5.3551","2.76M","-0.98%"
"Oct 18, 2018","5.4561","5.5695","5.6389","5.4190","2.59M","-2.03%"
"Oct 17, 2018","5.5694","5.5742","5.6200","5.5122","1.09M","-0.13%"
"Oct 16, 2018","5.5765","5.5785","5.6729","5.5049","1.86M","-0.41%"
"Oct 15, 2018","5.5996","5.1956","6.0627","5.1577","12.24M","7.70%"
"Oct 14, 2018","5.1994","5.2995","5.3320","5.1869","1.47M","-1.89%"
"Oct 13, 2018","5.2994","5.1956","5.3257","5.1956","1.26M","1.90%"
"Oct 12, 2018","5.2008","5.0844","5.3105","5.0273","3.56M","2.19%"
"Oct 11, 2018","5.0892","5.9214","5.9214","5.0288","12.35M","-14.06%"
"Oct 10, 2018","5.9216","5.9160","5.9611","5.8104","2.36M","-0.08%"
"Oct 09, 2018","5.9262","5.9524","5.9734","5.8496","2.31M","-0.27%"
"Oct 08, 2018","5.9424","5.7696","6.0252","5.7298","5.68M","3.30%"
"Oct 07, 2018","5.7524","5.7321","5.7900","5.6359","2.45M","0.41%"
"Oct 06, 2018","5.7290","5.8324","5.8554","5.6780","1.71M","-1.86%"
"Oct 05, 2018","5.8374","5.8088","5.8847","5.6696","3.69M","0.69%"
"Oct 04, 2018","5.7976","5.6166","5.8700","5.5996","5.32M","3.26%"
"Oct 03, 2018","5.6148","5.6200","5.6900","5.4403","3.47M","-0.09%"
"Oct 02, 2018","5.6200","5.7355","5.7800","5.5579","3.49M","-2.08%"
"Oct 01, 2018","5.7394","5.7389","5.8329","5.5294","5.10M","0.60%"
"Sep 30, 2018","5.7049","5.7440","5.9164","5.3500","7.93M","-0.89%"
"Sep 29, 2018","5.7563","5.7500","5.8300","5.4547","3.96M","-0.09%"
"Sep 28, 2018","5.7617","5.8250","6.0420","5.6577","8.70M","-1.05%"
"Sep 27, 2018","5.8226","5.5498","5.9720","5.3604","6.97M","5.02%"
"Sep 26, 2018","5.5444","5.4201","5.7759","5.2341","6.52M","2.86%"
"Sep 25, 2018","5.3904","5.6701","5.6701","5.0467","12.69M","-5.01%"
"Sep 24, 2018","5.6750","6.0059","6.0389","5.5954","5.56M","-5.66%"
"Sep 23, 2018","6.0157","5.9378","6.1502","5.8375","4.19M","1.27%"
"Sep 22, 2018","5.9400","6.2825","6.2988","5.7770","6.84M","-4.11%"
"Sep 21, 2018","6.1947","5.7858","6.2000","5.6419","12.69M","7.38%"
"Sep 20, 2018","5.7690","5.2451","5.9311","5.1915","9.52M","9.99%"
"Sep 19, 2018","5.2451","5.0421","5.2984","4.9194","8.03M","3.38%"
"Sep 18, 2018","5.0738","4.8270","5.2282","4.7700","10.32M","4.63%"
"Sep 17, 2018","4.8492","5.4180","5.4706","4.6597","12.82M","-10.39%"
"Sep 16, 2018","5.4113","5.3372","5.4907","5.1974","3.64M","1.14%"
"Sep 15, 2018","5.3501","5.2258","5.5200","5.2200","3.96M","2.17%"
"Sep 14, 2018","5.2365","5.4090","5.5198","5.1311","7.51M","-2.48%"
"Sep 13, 2018","5.3695","4.9468","5.5493","4.9329","10.74M","8.92%"
"Sep 12, 2018","4.9299","4.9890","4.9909","4.7700","5.64M","-1.22%"
"Sep 11, 2018","4.9907","5.0708","5.0939","4.7251","6.18M","-0.78%"
"Sep 10, 2018","5.0300","4.9373","5.1108","4.8823","4.27M","1.78%"
"Sep 09, 2018","4.9418","4.7487","5.1711","4.6605","7.74M","4.28%"
"Sep 08, 2018","4.7388","5.0636","5.1452","4.6490","6.66M","-6.44%"
"Sep 07, 2018","5.0649","5.2297","5.3287","4.9408","9.48M","-3.08%"
"Sep 06, 2018","5.2258","5.1643","5.2427","4.8500","14.30M","1.52%"
"Sep 05, 2018","5.1477","6.4831","6.5850","5.1313","19.72M","-20.67%"
"Sep 04, 2018","6.4887","6.4704","6.6309","6.3200","6.58M","0.28%"
"Sep 03, 2018","6.4706","6.6649","6.7187","6.3696","4.92M","-2.23%"
"Sep 02, 2018","6.6181","6.6623","6.6878","6.3227","6.57M","-0.66%"
"Sep 01, 2018","6.6622","6.4239","6.8071","6.4239","9.61M","3.67%"
"Aug 31, 2018","6.4262","6.0636","6.4880","5.9400","8.98M","5.56%"
"Aug 30, 2018","6.0878","6.1287","6.2678","5.7613","9.76M","-1.22%"
"Aug 29, 2018","6.1627","5.9144","6.4648","5.8000","14.89M","4.25%"
"Aug 28, 2018","5.9117","5.3835","6.0243","5.3011","11.06M","9.80%"
"Aug 27, 2018","5.3840","4.9494","5.3893","4.9069","8.88M","8.78%"
"Aug 26, 2018","4.9493","5.0360","5.0497","4.8234","3.48M","-1.70%"
"Aug 25, 2018","5.0350","5.0500","5.0679","4.9106","3.26M","-0.30%"
"Aug 24, 2018","5.0500","4.8974","5.1215","4.7754","7.72M","3.06%"
"Aug 23, 2018","4.9000","4.7122","4.9463","4.6657","5.58M","4.29%"
"Aug 22, 2018","4.6985","4.9046","5.3337","4.5218","14.49M","-4.20%"
"Aug 21, 2018","4.9047","4.7031","4.9684","4.6650","6.93M","4.29%"
"Aug 20, 2018","4.7031","5.2922","5.3524","4.6601","9.72M","-11.13%"
"Aug 19, 2018","5.2922","5.0760","5.3770","4.9412","7.00M","4.26%"
"Aug 18, 2018","5.0761","5.5812","5.6396","4.8260","12.55M","-9.04%"
"Aug 17, 2018","5.5806","4.5085","5.5881","4.4930","13.89M","23.71%"
"Aug 16, 2018","4.5110","4.6190","4.8048","4.4036","7.31M","-2.46%"
"Aug 15, 2018","4.6246","4.5800","4.9116","4.5668","9.63M","1.10%"
"Aug 14, 2018","4.5741","4.5794","4.5855","4.1846","11.27M","-0.13%"
"Aug 13, 2018","4.5800","4.9569","5.1696","4.4700","10.61M","-7.62%"
"Aug 12, 2018","4.9580","4.9609","5.1715","4.8900","7.35M","0.02%"
"Aug 11, 2018","4.9570","5.2400","5.3200","4.8283","13.14M","-5.49%"
"Aug 10, 2018","5.2450","5.7601","5.8138","5.1629","13.95M","-8.94%"
"Aug 09, 2018","5.7601","5.5866","5.9358","5.4161","8.91M","3.26%"
"Aug 08, 2018","5.5780","6.5690","6.5690","5.3391","18.40M","-15.09%"
"Aug 07, 2018","6.5690","7.0590","7.2000","6.5000","6.91M","-6.95%"
"Aug 06, 2018","7.0594","7.0326","7.1536","6.9413","2.65M","0.38%"
"Aug 05, 2018","7.0326","6.9780","7.1100","6.9000","2.51M","0.80%"
"Aug 04, 2018","6.9766","7.1817","7.2999","6.8801","3.29M","-2.86%"
"Aug 03, 2018","7.1817","7.0200","7.2500","6.8589","4.67M","2.30%"
"Aug 02, 2018","7.0200","7.2257","7.3173","6.9000","5.05M","-2.76%"
"Aug 01, 2018","7.2190","7.3279","7.3967","6.8270","7.60M","-1.33%"
"Jul 31, 2018","7.3165","7.7370","7.7388","7.1060","7.05M","-5.46%"
"Jul 30, 2018","7.7387","8.3335","8.3510","7.4260","8.79M","-7.15%"
"Jul 29, 2018","8.3350","8.3781","8.4550","8.1400","2.16M","-0.49%"
"Jul 28, 2018","8.3764","8.4293","8.4450","8.1269","2.29M","-0.63%"
"Jul 27, 2018","8.4293","8.3052","8.5200","8.0169","6.37M","1.49%"
"Jul 26, 2018","8.3052","8.5220","8.8664","8.2100","6.09M","-2.63%"
"Jul 25, 2018","8.5292","8.5798","8.9650","8.3581","7.43M","-0.66%"
"Jul 24, 2018","8.5856","7.9252","8.6800","7.7107","10.73M","8.12%"
"Jul 23, 2018","7.9410","7.8500","8.4166","7.7983","7.86M","1.16%"
"Jul 22, 2018","7.8501","8.0001","8.2651","7.7003","5.41M","-1.87%"
"Jul 21, 2018","8.0000","7.8470","8.2468","7.5841","4.77M","1.95%"
