"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2018","78.68","68.90","80.79","68.46","6.28K","14.20%"
"Dec 15, 2018","68.90","71.53","74.56","65.03","5.65K","-3.68%"
"Dec 14, 2018","71.53","79.41","82.50","70.63","13.54K","-9.92%"
"Dec 13, 2018","79.41","89.70","90.23","78.44","5.73K","-11.47%"
"Dec 12, 2018","89.70","90.81","92.05","88.04","2.87K","-1.23%"
"Dec 11, 2018","90.81","96.22","96.22","87.70","6.55K","-5.62%"
"Dec 10, 2018","96.22","98.29","102.83","95.72","3.59K","-2.10%"
"Dec 09, 2018","98.29","99.70","101.90","94.42","8.58K","-1.42%"
"Dec 08, 2018","99.70","105.24","106.10","98.21","7.88K","-5.26%"
"Dec 07, 2018","105.24","104.70","114.00","97.00","34.17K","0.52%"
"Dec 06, 2018","104.70","87.00","108.92","86.66","19.86K","20.34%"
"Dec 05, 2018","87.00","90.47","94.37","86.00","14.68K","-3.84%"
"Dec 04, 2018","90.47","96.64","96.64","89.08","5.98K","-6.38%"
"Dec 03, 2018","96.64","100.26","100.54","93.20","18.17K","-4.56%"
"Dec 02, 2018","101.25","94.20","104.97","93.20","12.07K","7.47%"
"Dec 01, 2018","94.21","96.40","98.28","87.96","13.50K","-2.27%"
"Nov 30, 2018","96.40","95.85","104.75","91.57","31.49K","1.21%"
"Nov 29, 2018","95.25","91.77","98.23","86.95","30.20K","3.98%"
"Nov 28, 2018","91.60","94.70","109.00","80.37","20.36K","-0.97%"
"Nov 27, 2018","92.50","106.81","117.40","84.24","14.95K","-14.19%"
"Nov 26, 2018","107.80","88.70","123.98","87.56","40.92K","23.91%"
"Nov 25, 2018","87.00","59.00","91.99","57.00","27.49K","46.49%"
"Nov 24, 2018","59.39","58.42","66.50","57.00","10.76K","1.61%"
"Nov 23, 2018","58.45","43.20","61.60","38.53","15.86K","31.57%"
"Nov 22, 2018","44.43","56.30","57.50","42.46","10.02K","-21.09%"
"Nov 21, 2018","56.30","57.10","58.49","53.55","10.86K","-1.35%"
"Nov 20, 2018","57.07","70.00","73.68","53.00","17.45K","-18.72%"
"Nov 19, 2018","70.22","111.44","114.47","70.22","37.61K","-36.25%"
"Nov 18, 2018","110.14","137.06","141.08","110.10","19.96K","-20.40%"
"Nov 17, 2018","138.36","109.21","145.44","109.11","35.17K","26.92%"
