"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 25, 2018","62.83","69.39","69.39","60.64","19.31K","-9.47%"
"Dec 24, 2018","69.40","66.47","73.94","66.31","26.47K","4.41%"
"Dec 23, 2018","66.47","65.16","69.48","64.91","18.19K","2.04%"
"Dec 22, 2018","65.14","62.80","65.42","61.40","10.01K","3.72%"
"Dec 21, 2018","62.80","67.16","67.96","61.20","24.75K","-6.63%"
"Dec 20, 2018","67.26","58.06","67.26","57.18","29.81K","15.84%"
"Dec 19, 2018","58.06","59.82","63.22","57.41","46.61K","-3.23%"
"Dec 18, 2018","60.00","57.72","60.07","55.12","17.09K","3.83%"
"Dec 17, 2018","57.79","51.88","59.00","51.66","27.74K","11.39%"
"Dec 16, 2018","51.88","50.56","54.26","50.34","21.80K","2.62%"
"Dec 15, 2018","50.56","49.74","51.50","49.04","9.62K","1.65%"
"Dec 14, 2018","49.74","52.38","52.98","49.02","14.58K","-4.56%"
"Dec 13, 2018","52.11","56.05","56.13","51.34","23.53K","-7.16%"
"Dec 12, 2018","56.13","54.40","58.90","53.80","16.34K","3.19%"
"Dec 11, 2018","54.40","56.90","57.40","53.34","16.53K","-4.49%"
"Dec 10, 2018","56.96","61.18","62.49","56.00","21.93K","-6.90%"
"Dec 09, 2018","61.18","57.71","63.78","57.33","20.51K","6.02%"
"Dec 08, 2018","57.71","60.41","63.31","54.01","37.50K","-4.48%"
"Dec 07, 2018","60.41","58.68","60.71","50.46","50.87K","3.10%"
"Dec 06, 2018","58.60","66.38","68.92","58.03","39.01K","-11.56%"
"Dec 05, 2018","66.25","74.85","75.24","65.44","41.14K","-11.49%"
"Dec 04, 2018","74.85","71.08","79.56","69.92","24.47K","5.30%"
"Dec 03, 2018","71.08","79.84","80.10","68.90","24.01K","-10.82%"
"Dec 02, 2018","79.71","80.68","82.80","77.22","24.99K","-1.48%"
"Dec 01, 2018","80.90","81.17","86.42","78.66","28.63K","-0.11%"
"Nov 30, 2018","80.99","88.62","91.12","77.21","63.23K","-8.61%"
"Nov 29, 2018","88.62","81.68","95.99","77.78","91.30K","10.12%"
"Nov 28, 2018","80.48","74.32","85.73","74.32","59.54K","8.83%"
"Nov 27, 2018","73.95","67.57","75.36","64.49","33.54K","9.69%"
"Nov 26, 2018","67.42","71.48","74.85","63.15","40.23K","-5.63%"
"Nov 25, 2018","71.44","68.48","73.96","61.57","49.45K","5.00%"
"Nov 24, 2018","68.04","78.78","81.43","65.56","27.75K","-13.63%"
"Nov 23, 2018","78.78","78.39","79.71","75.44","19.00K","0.35%"
"Nov 22, 2018","78.50","86.09","87.41","78.50","17.73K","-9.18%"
"Nov 21, 2018","86.43","86.74","90.35","81.38","21.53K","-0.48%"
"Nov 20, 2018","86.85","99.75","102.60","82.00","39.79K","-13.11%"
"Nov 19, 2018","99.95","113.80","114.14","96.40","32.41K","-12.69%"
"Nov 18, 2018","114.48","112.91","117.19","110.35","15.52K","1.70%"
"Nov 17, 2018","112.57","109.48","112.79","106.18","8.79K","2.38%"
"Nov 16, 2018","109.95","112.49","113.72","107.84","10.83K","-2.48%"
"Nov 15, 2018","112.75","113.71","114.98","101.12","26.37K","-0.12%"
"Nov 14, 2018","112.89","129.08","131.45","106.98","58.42K","-12.83%"
"Nov 13, 2018","129.51","137.00","138.00","128.24","22.02K","-4.61%"
"Nov 12, 2018","135.77","131.81","138.99","124.85","30.02K","3.85%"
"Nov 11, 2018","130.74","130.23","132.46","128.07","8.56K","0.35%"
"Nov 10, 2018","130.29","134.00","139.19","130.29","18.33K","-3.63%"
"Nov 09, 2018","135.20","137.40","139.20","132.53","17.81K","-1.00%"
"Nov 08, 2018","136.56","130.13","139.69","128.27","25.55K","5.05%"
"Nov 07, 2018","130.00","132.06","133.72","127.41","11.40K","-1.38%"
"Nov 06, 2018","131.82","123.19","131.86","122.28","27.21K","7.10%"
"Nov 05, 2018","123.08","122.60","123.51","119.45","10.62K","0.72%"
"Nov 04, 2018","122.20","117.52","123.48","116.55","10.09K","3.99%"
"Nov 03, 2018","117.51","119.10","119.82","115.89","4.08K","-1.34%"
"Nov 02, 2018","119.10","117.25","119.86","116.79","5.96K","1.60%"
"Nov 01, 2018","117.22","116.68","117.44","114.90","4.49K","0.67%"
"Oct 31, 2018","116.44","115.73","117.24","113.42","9.57K","0.61%"
"Oct 30, 2018","115.73","116.92","116.93","115.44","3.68K","-0.97%"
"Oct 29, 2018","116.86","124.22","124.22","114.72","10.82K","-5.51%"
"Oct 28, 2018","123.67","119.62","123.75","119.62","6.24K","3.20%"
"Oct 27, 2018","119.84","121.97","123.51","119.84","3.63K","-1.71%"
"Oct 26, 2018","121.93","126.30","126.54","118.53","17.06K","-3.23%"
"Oct 25, 2018","126.00","126.31","131.04","125.88","15.44K","-0.17%"
"Oct 24, 2018","126.21","122.00","127.14","121.83","6.86K","3.42%"
"Oct 23, 2018","122.04","123.97","124.72","120.99","5.95K","-1.48%"
"Oct 22, 2018","123.87","126.20","127.17","123.07","9.12K","-2.03%"
"Oct 21, 2018","126.44","127.50","128.86","126.00","7.70K","-0.78%"
"Oct 20, 2018","127.44","121.55","128.00","120.71","10.35K","4.60%"
"Oct 19, 2018","121.84","120.36","122.47","118.30","3.70K","1.31%"
"Oct 18, 2018","120.27","122.06","125.65","119.38","15.89K","-1.42%"
"Oct 17, 2018","122.00","117.37","124.25","115.75","15.62K","3.76%"
"Oct 16, 2018","117.58","114.52","117.98","113.63","6.36K","2.55%"
"Oct 15, 2018","114.66","109.25","128.40","108.29","42.76K","4.24%"
"Oct 14, 2018","110.00","111.73","112.29","109.71","3.48K","-1.62%"
"Oct 13, 2018","111.81","110.18","113.15","110.18","3.82K","1.27%"
"Oct 12, 2018","110.41","109.22","112.03","108.58","9.28K","1.14%"
"Oct 11, 2018","109.17","124.62","124.62","109.17","15.69K","-12.66%"
"Oct 10, 2018","124.99","125.93","126.14","124.09","4.24K","-0.73%"
"Oct 09, 2018","125.91","126.85","130.17","125.91","5.61K","-0.73%"
"Oct 08, 2018","126.84","125.33","127.59","124.38","5.93K","1.67%"
"Oct 07, 2018","124.76","124.91","125.59","123.67","3.23K","-0.10%"
"Oct 06, 2018","124.88","127.83","127.83","124.60","6.54K","-2.28%"
"Oct 05, 2018","127.80","123.70","131.16","123.20","12.56K","3.47%"
"Oct 04, 2018","123.52","122.20","125.97","121.86","5.95K","1.08%"
"Oct 03, 2018","122.20","125.80","125.90","120.80","10.13K","-3.09%"
"Oct 02, 2018","126.09","126.46","127.71","125.48","7.96K","-0.36%"
"Oct 01, 2018","126.54","130.09","133.25","126.06","9.49K","-2.60%"
"Sep 30, 2018","129.92","133.45","134.92","127.70","13.05K","-2.65%"
"Sep 29, 2018","133.45","134.41","135.70","130.82","9.54K","-1.37%"
"Sep 28, 2018","135.31","143.30","144.26","133.03","21.08K","-5.58%"
"Sep 27, 2018","143.30","132.77","144.85","132.39","22.56K","7.93%"
"Sep 26, 2018","132.77","135.72","143.53","128.53","26.24K","-2.06%"
"Sep 25, 2018","135.56","137.72","137.84","125.58","37.06K","-1.40%"
"Sep 24, 2018","137.49","129.84","147.12","124.70","58.84K","5.34%"
"Sep 23, 2018","130.52","124.05","135.44","122.98","18.73K","5.22%"
"Sep 22, 2018","124.05","127.80","129.00","121.17","8.70K","-1.87%"
"Sep 21, 2018","126.42","120.14","129.03","117.18","20.61K","5.52%"
"Sep 20, 2018","119.81","113.08","121.07","111.98","9.22K","5.95%"
"Sep 19, 2018","113.08","111.66","114.84","109.42","11.85K","1.34%"
"Sep 18, 2018","111.58","107.75","114.50","106.11","12.59K","3.55%"
"Sep 17, 2018","107.75","119.13","120.49","106.04","13.13K","-9.53%"
"Sep 16, 2018","119.10","120.29","120.40","116.00","6.79K","-0.99%"
"Sep 15, 2018","120.29","118.57","125.11","117.82","14.67K","1.20%"
"Sep 14, 2018","118.86","118.57","123.76","113.64","11.98K","1.03%"
"Sep 13, 2018","117.65","111.55","119.77","110.86","16.93K","5.47%"
"Sep 12, 2018","111.55","111.74","111.84","99.67","16.22K","0.07%"
"Sep 11, 2018","111.47","119.70","119.70","108.68","11.57K","-6.26%"
"Sep 10, 2018","118.91","119.57","122.45","115.77","7.71K","-0.55%"
"Sep 09, 2018","119.57","120.42","125.30","116.59","10.89K","-0.90%"
"Sep 08, 2018","120.66","125.03","134.26","119.92","9.60K","-3.66%"
"Sep 07, 2018","125.24","130.70","133.20","124.66","7.98K","-4.59%"
"Sep 06, 2018","131.27","130.62","132.06","121.72","21.29K","0.47%"
"Sep 05, 2018","130.66","156.07","159.09","130.24","32.38K","-16.27%"
"Sep 04, 2018","156.05","156.65","159.24","155.00","15.49K","-0.38%"
"Sep 03, 2018","156.65","156.08","160.91","149.84","11.80K","0.55%"
"Sep 02, 2018","155.80","157.82","158.30","150.95","8.56K","-1.43%"
"Sep 01, 2018","158.06","149.40","161.29","148.60","15.56K","5.54%"
"Aug 31, 2018","149.76","151.67","151.92","141.50","18.77K","-1.40%"
"Aug 30, 2018","151.88","152.87","153.56","144.60","12.45K","-0.76%"
"Aug 29, 2018","153.05","154.10","156.22","147.62","8.06K","-0.68%"
"Aug 28, 2018","154.10","151.53","156.99","146.49","14.47K","1.70%"
"Aug 27, 2018","151.53","134.58","153.80","133.75","43.19K","12.59%"
"Aug 26, 2018","134.58","138.63","139.00","134.01","4.76K","-2.92%"
"Aug 25, 2018","138.63","141.10","143.00","135.58","14.24K","-1.75%"
"Aug 24, 2018","141.10","132.57","141.73","129.96","11.53K","6.43%"
"Aug 23, 2018","132.57","127.53","133.37","126.92","6.72K","3.95%"
"Aug 22, 2018","127.53","134.52","145.61","124.00","16.22K","-5.20%"
"Aug 21, 2018","134.52","129.36","135.72","127.55","9.07K","3.99%"
"Aug 20, 2018","129.36","141.51","144.09","128.62","9.33K","-8.59%"
"Aug 19, 2018","141.51","141.56","145.72","138.22","9.89K","-0.26%"
"Aug 18, 2018","141.88","151.72","153.78","140.03","9.44K","-6.65%"
"Aug 17, 2018","151.99","140.25","152.00","139.88","13.72K","8.37%"
"Aug 16, 2018","140.25","135.00","142.61","134.09","13.61K","3.89%"
"Aug 15, 2018","135.00","132.97","144.20","131.31","21.57K","1.48%"
"Aug 14, 2018","133.03","142.50","142.50","120.63","58.54K","-6.65%"
"Aug 13, 2018","142.50","156.80","162.37","142.50","10.69K","-9.12%"
"Aug 12, 2018","156.80","155.37","162.88","153.61","6.77K","0.92%"
"Aug 11, 2018","155.37","160.20","161.90","151.67","11.70K","-3.01%"
"Aug 10, 2018","160.20","174.55","175.00","156.59","14.82K","-7.96%"
"Aug 09, 2018","174.05","160.90","176.14","157.14","10.90K","8.31%"
"Aug 08, 2018","160.70","175.99","175.99","156.41","37.73K","-8.69%"
"Aug 07, 2018","175.99","180.64","191.97","174.10","41.44K","-2.65%"
"Aug 06, 2018","180.78","179.79","186.39","175.63","45.58K","0.55%"
"Aug 05, 2018","179.79","174.30","180.98","170.69","13.00K","3.34%"
"Aug 04, 2018","173.98","186.66","190.15","172.87","11.13K","-6.86%"
"Aug 03, 2018","186.79","186.18","189.87","175.82","48.08K","0.34%"
"Aug 02, 2018","186.16","197.29","201.04","184.41","14.59K","-5.64%"
"Aug 01, 2018","197.29","209.60","211.42","193.00","22.76K","-6.13%"
"Jul 31, 2018","210.17","214.25","214.59","195.64","38.48K","-1.90%"
"Jul 30, 2018","214.25","217.75","222.29","201.18","28.60K","-1.54%"
"Jul 29, 2018","217.60","223.22","226.99","214.18","13.84K","-2.52%"
"Jul 28, 2018","223.22","221.20","223.32","217.27","6.56K","0.91%"
"Jul 27, 2018","221.20","221.82","225.00","211.30","14.79K","-0.28%"
"Jul 26, 2018","221.82","222.69","232.00","218.00","32.16K","-0.39%"
"Jul 25, 2018","222.69","223.35","227.11","210.10","23.38K","-0.67%"
"Jul 24, 2018","224.20","190.07","225.96","189.55","46.00K","17.96%"
"Jul 23, 2018","190.07","189.24","208.22","188.00","30.55K","0.15%"
"Jul 22, 2018","189.78","188.46","196.20","180.95","14.22K","0.91%"
"Jul 21, 2018","188.06","183.08","193.20","177.27","7.16K","2.72%"
"Jul 20, 2018","183.08","200.76","200.77","175.77","35.94K","-8.77%"
"Jul 19, 2018","200.69","208.88","215.16","198.11","12.32K","-4.03%"
"Jul 18, 2018","209.12","210.10","227.68","200.10","38.97K","-0.47%"
"Jul 17, 2018","210.10","188.01","213.00","181.00","39.87K","11.35%"
"Jul 16, 2018","188.69","173.95","190.00","171.07","20.59K","8.47%"
"Jul 15, 2018","173.95","173.03","179.10","171.51","14.15K","0.43%"
"Jul 14, 2018","173.20","175.93","179.00","170.25","24.89K","-1.53%"
"Jul 13, 2018","175.90","154.41","197.00","153.69","56.59K","13.92%"
"Jul 12, 2018","154.41","157.89","157.89","150.10","5.71K","-2.20%"
"Jul 11, 2018","157.89","159.05","162.56","154.80","5.39K","-0.73%"
"Jul 10, 2018","159.05","166.95","168.23","157.68","7.30K","-4.73%"
"Jul 09, 2018","166.95","173.16","174.08","166.30","5.32K","-3.59%"
"Jul 08, 2018","173.16","175.00","177.40","172.71","4.71K","-1.05%"
"Jul 07, 2018","175.00","174.96","176.38","168.45","7.47K","0.02%"
"Jul 06, 2018","174.96","174.58","177.39","164.38","9.29K","0.22%"
"Jul 05, 2018","174.58","181.60","186.68","172.09","5.75K","-3.87%"
