"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2018","53.73","51.20","54.13","50.97","104.13K","4.80%"
"Oct 11, 2018","51.27","58.49","58.49","50.82","191.85K","-12.41%"
"Oct 10, 2018","58.53","59.08","59.08","57.39","52.45K","-0.89%"
"Oct 09, 2018","59.06","59.75","59.80","58.51","42.61K","-1.18%"
"Oct 08, 2018","59.76","58.51","60.20","57.72","109.41K","2.51%"
"Oct 07, 2018","58.30","57.91","58.63","56.95","59.61K","0.66%"
"Oct 06, 2018","57.92","59.03","59.17","57.07","74.04K","-1.97%"
"Oct 05, 2018","59.09","58.36","59.77","57.62","81.93K","1.47%"
"Oct 04, 2018","58.23","57.57","59.42","57.39","86.95K","1.15%"
"Oct 03, 2018","57.57","59.50","59.58","56.62","109.66K","-3.24%"
"Oct 02, 2018","59.50","60.48","61.68","59.12","98.49K","-1.48%"
"Oct 01, 2018","60.39","61.38","62.05","59.46","93.11K","-1.36%"
"Sep 30, 2018","61.22","61.64","63.18","59.92","182.43K","-0.70%"
"Sep 29, 2018","61.65","61.65","62.25","58.92","114.59K","-0.47%"
"Sep 28, 2018","61.95","63.33","64.98","60.18","219.18K","-2.19%"
"Sep 27, 2018","63.33","57.25","65.44","56.68","377.47K","10.76%"
"Sep 26, 2018","57.18","57.48","59.86","56.49","144.33K","-0.58%"
"Sep 25, 2018","57.51","57.96","58.09","54.34","214.35K","-0.63%"
"Sep 24, 2018","57.88","60.95","61.46","57.20","186.26K","-5.76%"
"Sep 23, 2018","61.42","60.68","63.65","60.00","155.26K","1.21%"
"Sep 22, 2018","60.68","61.10","61.96","58.12","175.26K","-0.35%"
"Sep 21, 2018","60.89","57.02","62.82","56.38","233.56K","7.53%"
"Sep 20, 2018","56.63","54.37","57.30","53.42","96.33K","4.15%"
"Sep 19, 2018","54.37","53.95","54.90","51.62","166.80K","0.62%"
"Sep 18, 2018","54.04","51.86","55.31","50.59","153.20K","3.38%"
"Sep 17, 2018","52.27","56.91","57.87","51.28","166.59K","-7.86%"
"Sep 16, 2018","56.73","56.34","57.52","54.47","98.45K","0.64%"
"Sep 15, 2018","56.37","56.18","58.82","55.80","108.81K","0.11%"
"Sep 14, 2018","56.31","54.53","58.96","52.89","197.48K","3.58%"
"Sep 13, 2018","54.36","51.74","55.33","51.74","162.13K","5.01%"
"Sep 12, 2018","51.77","52.06","52.06","47.24","173.61K","-0.57%"
"Sep 11, 2018","52.06","54.49","54.76","50.31","158.44K","-4.33%"
"Sep 10, 2018","54.42","54.73","56.55","53.08","129.75K","-0.48%"
"Sep 09, 2018","54.68","53.09","56.49","52.13","137.92K","3.08%"
"Sep 08, 2018","53.05","55.57","57.22","52.08","126.97K","-4.75%"
"Sep 07, 2018","55.69","57.64","58.44","55.04","94.32K","-3.22%"
"Sep 06, 2018","57.54","57.77","57.85","53.97","257.21K","-0.20%"
"Sep 05, 2018","57.66","67.57","68.25","57.60","249.70K","-14.71%"
"Sep 04, 2018","67.60","65.41","69.32","65.38","138.61K","3.35%"
"Sep 03, 2018","65.41","66.28","66.41","64.29","63.92K","-1.12%"
"Sep 02, 2018","66.15","66.50","67.10","64.17","65.18K","-0.53%"
"Sep 01, 2018","66.50","62.13","67.85","62.13","141.05K","7.03%"
"Aug 31, 2018","62.13","60.25","62.65","59.56","63.13K","3.18%"
"Aug 30, 2018","60.22","61.53","61.63","58.60","70.85K","-2.28%"
"Aug 29, 2018","61.62","63.15","63.41","60.33","71.51K","-2.42%"
"Aug 28, 2018","63.15","60.72","63.71","59.73","124.15K","4.06%"
"Aug 27, 2018","60.68","57.07","60.90","56.62","97.99K","6.33%"
"Aug 26, 2018","57.07","57.87","58.10","55.89","39.94K","-1.40%"
"Aug 25, 2018","57.88","57.90","58.42","57.07","46.49K","0.01%"
"Aug 24, 2018","57.88","57.31","58.38","55.52","58.34K","1.06%"
"Aug 23, 2018","57.27","55.15","57.88","54.79","77.82K","3.82%"
"Aug 22, 2018","55.16","56.42","59.26","53.96","183.03K","-2.23%"
"Aug 21, 2018","56.42","53.40","56.86","53.25","88.09K","5.67%"
"Aug 20, 2018","53.40","57.78","58.51","53.19","176.80K","-7.58%"
"Aug 19, 2018","57.78","57.13","59.00","56.19","78.00K","1.16%"
"Aug 18, 2018","57.12","61.81","62.37","55.22","139.21K","-7.60%"
"Aug 17, 2018","61.81","55.25","61.90","55.06","146.40K","11.78%"
"Aug 16, 2018","55.30","54.28","57.63","54.12","90.24K","1.73%"
"Aug 15, 2018","54.36","54.36","59.23","53.86","229.16K","0.03%"
"Aug 14, 2018","54.34","56.45","56.45","49.19","211.67K","-3.79%"
"Aug 13, 2018","56.48","59.29","60.55","55.67","87.80K","-4.72%"
"Aug 12, 2018","59.28","57.67","61.50","57.32","112.06K","2.80%"
"Aug 11, 2018","57.67","59.14","59.95","55.10","184.97K","-2.47%"
"Aug 10, 2018","59.13","62.90","63.10","58.00","117.95K","-5.95%"
"Aug 09, 2018","62.87","62.14","65.03","60.06","125.37K","1.17%"
"Aug 08, 2018","62.14","67.28","67.48","60.89","187.75K","-7.64%"
"Aug 07, 2018","67.28","73.63","75.15","66.71","156.83K","-8.54%"
"Aug 06, 2018","73.57","74.64","76.79","72.38","46.94K","-1.44%"
"Aug 05, 2018","74.64","73.07","74.66","72.19","51.39K","2.24%"
"Aug 04, 2018","73.00","77.56","78.14","72.10","65.80K","-5.88%"
"Aug 03, 2018","77.56","76.13","77.85","74.86","57.47K","1.88%"
"Aug 02, 2018","76.13","77.64","78.41","75.48","43.82K","-1.95%"
"Aug 01, 2018","77.64","78.78","79.02","75.97","93.75K","-1.47%"
"Jul 31, 2018","78.80","82.17","82.45","76.10","111.58K","-4.10%"
"Jul 30, 2018","82.17","84.04","84.68","79.74","88.37K","-2.27%"
"Jul 29, 2018","84.08","84.19","85.39","83.38","37.77K","-0.36%"
"Jul 28, 2018","84.38","84.43","84.72","82.40","32.49K","-0.05%"
