"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 16, 2019","0.33318","0.33129","0.34150","0.32892","13.99M","0.59%"
"Jan 15, 2019","0.33123","0.33961","0.34264","0.32623","17.90M","-2.49%"
"Jan 14, 2019","0.33970","0.32183","0.34736","0.32143","27.50M","5.55%"
"Jan 13, 2019","0.32183","0.33573","0.34056","0.31865","20.73M","-4.29%"
"Jan 12, 2019","0.33625","0.33604","0.34057","0.33282","9.82M","0.00%"
"Jan 11, 2019","0.33624","0.33603","0.34478","0.33040","16.10M","0.03%"
"Jan 10, 2019","0.33613","0.37601","0.39096","0.32832","83.59M","-10.69%"
"Jan 09, 2019","0.37638","0.37460","0.37985","0.36668","26.16M","0.48%"
"Jan 08, 2019","0.37460","0.37309","0.38152","0.36656","25.05M","0.37%"
"Jan 07, 2019","0.37321","0.37680","0.38607","0.37022","17.32M","-0.95%"
"Jan 06, 2019","0.37680","0.36081","0.38167","0.35749","34.54M","4.43%"
"Jan 05, 2019","0.36081","0.36850","0.37553","0.35597","28.77M","-2.03%"
"Jan 04, 2019","0.36830","0.36770","0.37433","0.35841","20.90M","0.26%"
"Jan 03, 2019","0.36734","0.38683","0.38757","0.36387","19.38M","-5.06%"
"Jan 02, 2019","0.38690","0.37719","0.39299","0.36967","26.75M","2.65%"
"Jan 01, 2019","0.37690","0.36141","0.37706","0.35788","23.74M","4.31%"
"Dec 31, 2018","0.36134","0.38238","0.38800","0.35619","42.83M","-5.50%"
"Dec 30, 2018","0.38237","0.37546","0.38237","0.36891","24.30M","2.06%"
"Dec 29, 2018","0.37464","0.38874","0.39765","0.37162","39.97M","-3.89%"
"Dec 28, 2018","0.38982","0.34768","0.39590","0.34311","46.33M","12.14%"
"Dec 27, 2018","0.34762","0.38774","0.38972","0.33957","30.46M","-10.35%"
"Dec 26, 2018","0.38775","0.39234","0.40369","0.36900","42.59M","-1.18%"
"Dec 25, 2018","0.39239","0.41449","0.41709","0.37412","54.39M","-5.14%"
"Dec 24, 2018","0.41365","0.38000","0.46669","0.37970","123.50M","8.87%"
"Dec 23, 2018","0.37995","0.37273","0.39422","0.37076","40.65M","1.86%"
"Dec 22, 2018","0.37303","0.36650","0.37530","0.35534","27.75M","1.78%"
"Dec 21, 2018","0.36650","0.38736","0.39707","0.36028","51.97M","-5.45%"
"Dec 20, 2018","0.38762","0.35786","0.39871","0.35447","73.04M","8.32%"
"Dec 19, 2018","0.35786","0.36182","0.40582","0.35459","91.92M","-1.09%"
"Dec 18, 2018","0.36182","0.33814","0.36182","0.33225","51.66M","7.01%"
"Dec 17, 2018","0.33813","0.29307","0.34802","0.29085","52.84M","15.38%"
"Dec 16, 2018","0.29307","0.29033","0.30243","0.29031","20.96M","0.90%"
"Dec 15, 2018","0.29045","0.29380","0.29630","0.28594","15.52M","-1.15%"
"Dec 14, 2018","0.29382","0.30409","0.30493","0.28804","27.96M","-3.38%"
"Dec 13, 2018","0.30409","0.31281","0.31345","0.30079","20.68M","-2.75%"
"Dec 12, 2018","0.31270","0.30391","0.31852","0.30230","19.91M","2.89%"
"Dec 11, 2018","0.30391","0.30750","0.31797","0.29900","22.70M","-1.17%"
